            PVSUFF_DO:2MS                       PRP                       NOM          PRN_DO+2_MASC_SG
             PVSUFF_DO:3D                       PRP                       NOM               PRN_DO+3_DU
            PVSUFF_DO:3FP                       PRP                       NOM           PRN_DO+3_FEM_PL
            PVSUFF_DO:3FS                       PRP                       NOM           PRN_DO+3_FEM_SG
            PVSUFF_DO:3MP                       PRP                       NOM          PRN_DO+3_MASC_PL
            PVSUFF_DO:3MS                       PRP                       NOM          PRN_DO+3_MASC_SG
           PVSUFF_SUBJ:1P                    UNDEF*                    UNDEF*                     #1_PL
           PVSUFF_SUBJ:1S                    UNDEF*                    UNDEF*                     #1_SG
           PVSUFF_SUBJ:2D                    UNDEF*                    UNDEF*                     #2_DU
          PVSUFF_SUBJ:2FP                    UNDEF*                    UNDEF*                 #2_FEM_PL
          PVSUFF_SUBJ:2FS                    UNDEF*                    UNDEF*                 #2_FEM_SG
          PVSUFF_SUBJ:2MP                    UNDEF*                    UNDEF*                #2_MASC_PL
          PVSUFF_SUBJ:2MS                    UNDEF*                    UNDEF*                #2_MASC_SG
          PVSUFF_SUBJ:3FD                    UNDEF*                    UNDEF*                 #3_FEM_DU
          PVSUFF_SUBJ:3FP                    UNDEF*                    UNDEF*                 #3_FEM_PL
          PVSUFF_SUBJ:3FS                    UNDEF*                    UNDEF*                 #3_FEM_SG
          PVSUFF_SUBJ:3MD                    UNDEF*                    UNDEF*                #3_MASC_DU
          PVSUFF_SUBJ:3MP                    UNDEF*                    UNDEF*                #3_MASC_PL
          PVSUFF_SUBJ:3MS                    UNDEF*                    UNDEF*                #3_MASC_SG
                  PV_PASS                       VBN                  VRB-PASS                   PV_PASS
                  RC_PART                        RP                       PRT                      PART
                  REL_ADV                       WRB                       NOM                   ADV_REL
                 REL_PRON                        WP                       NOM                   PRN_REL
             RESTRIC_PART                        RP                       PRT                      PART
                      SUB                        AN                       PRT                  SUB_CONJ
                 SUB_CONJ                        AN                       PRT                  SUB_CONJ
                 TRANSERR                        NN                       NOM                       OTH
                     TYPO                        NN                       NOM                       OTH
                     VERB                        VB                       VRB                      VERB
   VERB_IMPERFECT_PASSIVE                       VBN                  VRB-PASS                      VERB
                VERB_PART                        RP                       PRT                 PART_VERB
             VERB_PERFECT                       VBD                       VRB                      VERB
     VERB_PERFECT_PASSIVE                       VBN                  VRB-PASS                      VERB
                 VOC_PART                        UH                       PRT                  PART_VOC
